===== Starting pico ===== 
[Motor] Init start 
[Motor] Init done 
[Encoder] Init start 
[Encoder] Init done 
[Accelerometer] Init start 
[Accelerometer] Init done 
[Ultrasonic] Init start 
[Ultrasonic] Init done 
[Comms] Init start 
[Comms] Init done 
T: 18.20s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 18.40s | SP: 0.00 | SPD L: 0.00 | DUTY L: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
T: 18.40s | SP: 0.00 | SPD R: 0.00 | DUTY R: 0 | [P]0.00 [I]0.00 [D]0.00 (Err: 0.00) 
> [Motor] PID Target Setpoint 35 
T: 18.60s | SP: 35.00 | SPD L: 0.00 | DUTY L: 100 | [P]70.00 [I]7.01 [D]69.92 (Err: 35.00) 
T: 18.60s | SP: 35.00 | SPD R: 0.00 | DUTY R: 100 | [P]70.00 [I]7.01 [D]69.92 (Err: 35.00) 
T: 18.80s | SP: 35.00 | SPD L: 2.10 | DUTY L: 90 | [P]65.79 [I]13.59 [D]-4.20 (Err: 32.90) 
T: 18.80s | SP: 35.00 | SPD R: 3.16 | DUTY R: 88 | [P]63.69 [I]13.38 [D]-6.31 (Err: 31.84) 
T: 19.00s | SP: 35.00 | SPD L: 2.10 | DUTY L: 94 | [P]65.79 [I]20.18 [D]0.00 (Err: 32.90) 
T: 19.00s | SP: 35.00 | SPD R: 3.16 | DUTY R: 93 | [P]63.69 [I]19.76 [D]0.00 (Err: 31.84) 
